product_price,delivery_days,customer_rating,is_first_order,return_probability_pct
1155.9,10,1.1,1,46.21
2051.3,6,3.7,0,36.52
1894.1,8,2.2,0,24.85
962.3,6,4.8,1,25.87
4349.5,6,1.4,0,45.72
4643.3,7,2.9,0,33.09
2486.7,6,1.4,1,46.17
3123.6,6,2.9,1,42.4
809.5,6,4.8,1,30.97
4676.6,7,3.8,1,39.57
2031.9,4,3.7,1,35.25
3942.7,8,4.3,0,39.04
3498.0,3,2.3,1,44.05
994.8,5,2.0,0,21.78
2115.3,1,3.2,1,29.95
2855.5,9,3.7,0,33.81
3336.0,3,4.7,0,25.72
2152.7,7,2.3,1,39.5
903.4,3,3.5,1,29.89
1054.9,8,3.9,0,23.84
249.5,3,3.8,0,18.82
851.8,5,3.3,0,20.91
3228.3,3,5.0,1,39.46
1832.9,2,4.2,1,30.15
4605.0,8,4.1,0,36.74
